#NAME?,RF AUSTRIA GVT BMK BID YLD 10Y - RED. YIELD,RF BELGIUM GVT BMK BID YLD 10Y - RED. YIELD,RF CYPRUS GVT BMK BID YLD 10Y - RED. YIELD,RF GERMANY GVT BMK BID YLD 10Y - RED. YIELD,RF SPAIN GVT BMK BID YLD 10Y - RED. YIELD,RF FINLAND GVT BMK BID YLD 10Y - RED. YIELD,RF FRANCE GVT BMK BID YLD 10Y - RED. YIELD,RF GREECE GVT BMK BID YLD 10Y - RED. YIELD,RF IRELAND GVT BMK BID YLD 10Y - RED. YIELD,RF ITALY GVT BMK BID YLD 10Y - RED. YIELD,RF LITHUANIA GVT BMK BID YLD 10Y - RED. YIELD,#ERROR,RF LATVIA GVT BMK BID YLD 10Y DISC - RED. YIELD,RF MALTA GVT BMK BID YLD 10Y - RED. YIELD,RF NETHERLANDS GVT BMK BID YLD 10Y - RED. YIELD,RF PORTUGAL GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVENIA GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVAKIA GVT BMK BID YLD 10Y - RED. YIELD,RFV DEM 6M IRS 10Y - MIDDLE RATE,
25-04-2023,3.021,3.062,4.02,2.378,3.428,2.963,2.95,4.25,2.79,4.268,3.982,,0.549,3.65,2.735,3.232,3.361,3.699,3.045,
26-04-2023,3.057,3.065,4.019,2.385,3.434,2.976,2.959,4.219,2.805,4.261,3.955,,0.549,3.558,2.758,3.235,3.248,3.722,3.068,
27-04-2023,3.129,3.145,4.115,2.453,3.504,3.048,3.03,4.283,2.849,4.35,3.974,,0.549,3.608,2.829,3.309,3.248,3.775,3.104,
28-04-2023,2.987,3.008,3.985,2.32,3.365,2.929,2.893,4.213,2.701,4.181,3.962,,0.549,3.566,2.686,3.155,3.244,3.67,2.985,
01-05-2023,2.987,3.008,3.985,2.32,3.365,2.929,2.893,4.213,2.701,4.181,3.962,,0.549,3.566,2.686,3.155,3.244,3.67,2.979,
02-05-2023,2.927,2.957,3.977,2.252,3.321,2.87,2.847,4.247,2.674,4.161,3.925,,0.549,3.587,2.637,3.115,3.244,3.644,2.946,
03-05-2023,2.907,2.942,3.982,2.25,3.322,2.863,2.839,4.099,2.696,4.13,4.1,,0.549,3.477,2.625,3.111,3.131,3.557,2.931,
04-05-2023,2.869,2.905,3.941,2.197,3.296,2.805,2.802,4.125,2.659,4.124,3.904,,0.549,3.489,2.574,3.07,3.166,3.547,2.887,
05-05-2023,2.97,2.987,4.001,2.293,3.38,2.884,2.885,4.059,2.742,4.2,3.856,,0.549,3.495,2.669,3.155,3.162,3.623,2.96,
08-05-2023,2.978,3.015,4.027,2.319,3.404,2.918,2.911,4.083,2.78,4.236,4.3,,0.549,3.538,2.694,3.181,3.215,3.623,2.986,
09-05-2023,3.025,3.043,4.038,2.337,3.435,2.944,2.935,4.125,2.813,4.268,4.3,,0.549,3.572,2.717,3.204,3.198,3.768,3.012,
10-05-2023,2.983,3.003,3.982,2.295,3.38,2.894,2.882,4.093,2.746,4.212,4.3,,0.549,3.601,2.675,3.147,3.204,3.634,2.959,
11-05-2023,2.899,2.919,3.929,2.217,3.304,2.824,2.8,4.025,2.683,4.117,4.3,,0.549,3.514,2.596,3.059,3.127,3.629,2.896,
12-05-2023,2.947,2.97,3.979,2.266,3.352,2.869,2.849,4.012,2.753,4.17,4.3,,0.549,3.513,2.642,3.106,3.141,3.637,2.94,
15-05-2023,2.984,3.014,3.995,2.31,3.38,2.909,2.891,4.006,2.781,4.189,4.35,,0.549,3.544,2.68,3.138,3.18,3.685,2.953,
16-05-2023,3.031,3.058,4.001,2.34,3.414,2.943,2.933,4.031,2.826,4.217,4.35,,0.549,3.522,2.723,3.162,3.166,3.687,2.999,
17-05-2023,3.026,3.045,4.044,2.338,3.395,2.931,2.919,3.975,2.803,4.188,4.35,,0.549,3.594,2.718,3.151,3.197,3.68,2.997,
18-05-2023,3.136,3.158,4.113,2.413,3.514,2.931,3.038,4.037,2.89,4.308,4.35,,0.549,3.635,2.824,3.257,3.297,3.822,3.1,
19-05-2023,3.111,3.128,4.11,2.423,3.468,3.024,3.006,4.06,2.87,4.257,3.93,,0.549,3.701,2.803,3.222,3.365,3.776,3.077,
22-05-2023,3.137,3.15,4.153,2.451,3.501,3.066,3.028,3.902,2.875,4.302,4.5,,0.549,3.674,2.833,3.242,3.305,3.793,3.102,
23-05-2023,3.151,3.165,4,2.463,3.515,3.073,3.04,3.9,2.876,4.319,4.5,,0.549,3.715,2.836,3.242,3.374,3.81,3.118,
24-05-2023,3.141,3.159,4.073,2.452,3.519,3.067,3.034,3.895,2.885,4.322,4.5,,0.549,3.749,2.822,3.226,3.327,3.79,3.121,
25-05-2023,3.157,3.199,4.097,2.489,3.555,3.089,3.074,3.891,2.939,4.346,4.5,,0.549,3.73,2.861,3.247,3.369,3.829,3.172,
26-05-2023,3.195,3.24,4.082,2.539,3.604,3.147,3.118,3.94,2.977,4.397,4.5,,0.549,3.8,2.906,3.291,3.393,3.827,3.179,
29-05-2023,3.112,3.139,3.954,2.433,3.497,3.031,3.001,3.88,2.866,4.278,4.5,,0.549,3.784,2.81,3.173,3.334,3.738,3.083,
30-05-2023,3.004,3.024,3.936,2.34,3.409,2.926,3.001,3.827,2.786,4.175,4.45,,0.549,3.678,2.712,3.078,3.274,3.592,2.996,
31-05-2023,2.94,2.958,3.875,2.269,3.334,2.851,2.84,3.774,2.739,4.093,4.35,,0.549,3.552,2.641,3.018,3.158,3.559,2.954,
01-06-2023,2.942,2.939,3.853,2.26,3.3,2.847,2.828,3.745,2.688,4.009,4.35,,0.549,3.593,2.618,2.982,3.2,3.504,2.91,
02-06-2023,2.979,2.984,3.855,2.308,3.312,2.889,2.858,3.704,2.75,3.975,4.35,,0.549,3.541,2.673,3.004,3.192,3.599,2.955,
05-06-2023,3.045,3.048,3.855,2.374,3.374,2.943,2.924,3.704,2.81,4.049,4.35,,0.549,3.62,2.734,3.069,3.28,3.644,3.001,
06-06-2023,3.041,3.044,3.851,2.37,3.372,2.955,2.923,3.757,2.776,4.175,4.35,,0.549,3.607,2.734,3.076,3.229,3.624,2.9725,
07-06-2023,3.114,3.121,3.884,2.443,3.454,3.016,2.997,3.732,2.845,4.252,4.35,,0.549,3.607,2.805,3.163,3.279,3.736,3.068,
08-06-2023,3.095,3.103,3.857,2.422,3.425,3.017,2.977,3.715,2.795,4.216,4.35,,0.549,3.718,2.784,3.159,3.376,3.652,3.008,
09-06-2023,3.053,3.054,3.842,2.38,3.361,2.967,2.928,3.663,2.757,4.119,4.35,,0.549,3.67,2.746,3.095,3.313,3.665,2.981,
12-06-2023,3.023,3.04,3.809,2.382,3.334,2.948,2.913,3.712,2.749,4.059,4.35,,0.549,3.634,2.738,3.07,3.26,3.656,2.981,
